title,url,date,title_content,content,collection_time,label
藤岡弘、の次女、ミニの制服姿にファン胸キュン！「最高に可愛い」「めっちゃ青春」,https://www.yomiuri.co.jp/culture/hochi/20241122064-OHT1T51126/,No Date,No Title Content,No Content,2024-11-23 10:08:22,Culture & Entertainment
ＪＲ九州高速船の浸水隠し「刑事罰対象の可能性高い」…第三者委が報告書「幹部の誤った考えは非常識」,https://www.yomiuri.co.jp/local/kyushu/news/20241122-OYTNT50017/,2024/11/22 12:43,ＪＲ九州高速船の浸水隠し「刑事罰対象の可能性高い」…第三者委が報告書「幹部の誤った考えは非常識」,"ＪＲ九州の完全子会社「ＪＲ九州高速船」（福岡市）が、博多港―韓国・釜山港を結ぶ旅客船「クイーンビートル」（定員５０２人）の浸水を隠して３か月以上運航を続けていた問題で、ＪＲ九州は２１日、同社設置の第三者委員会（委員長・尾崎恒康弁護士）がまとめた調査報告書を公表した。浸水を隠すために船の警報センサーを移動させ、検査を受けずに運航したことなどが船舶安全法に抵触し、ＪＲ九州高速船や同社幹部が刑事罰の対象になる可能性が高いとした。
報告書によると、ＪＲ九州高速船は２月に浸水を把握したが、当時の社長ら幹部は「この程度の浸水ならば問題はない」と判断し、５月３０日まで運航した。日々の浸水量を非公式の管理簿に記録し、浸水量が増えると、感知する警報センサーを上部にずらした。
報告書は、センサーの移動は、臨時検査を受けるべき航海用具の改造に該当する可能性が高いと指摘。移動させたにもかかわらず、検査を受けずに航行を継続した行為が、船舶安全法違反で刑事罰の対象となる可能性が高いとしている。
また、ＪＲ九州高速船幹部による２月の浸水判明時の
隠蔽
の決断について、代替船もなく韓国の旧正月で繁忙期だったとし、船首以外は水密が保持されていると考え、「（予約キャンセルを回避したいという）営業上や社内の事情を優先した」と指摘。約１週間後に船首の損傷の疑いを把握しても、「運航を続けたいとの思いから、（ダイバーによるチェックなど）本格的な確認作業を行わなかった」とした。
問題の原因は、当時の社長が船舶運航の知見や経験が乏しく、「船員経験が豊富な運航管理者らに遠慮して（運航継続を）容認した」と分析。事態を引き起こした責任は「ＪＲ九州高速船の幹部及び船長にある」と結論付けた。「幹部の誤った考えは、海運の世界では通用しない非常識なものと言わざるを得ない」と批判した。
ＪＲ九州高速船は昨年も検査を受けずに航行して行政処分や刑事処分を受けており、昨年７月に国に提出した改善報告書では、何らかの異常が発生した際には即座に報告する「まずは第一報」のルールを導入していたが約半年で破られた。",2024-11-23 10:08:30,Other
韓国船救助　歴史たどる,https://www.yomiuri.co.jp/local/tottori/news/20241121-OYTNT50099/,2024/11/22 05:00,韓国船救助　歴史たどる,"

江戸、大正、昭和の３時代に韓国船が琴浦町の赤碕沖で遭難し、住民らが乗組員の救助に当たるなどした歴史を紹介する資料展が２０日、町役場本庁舎で始まった。無料。２７日まで。
１９１８年に赤碕沖で座礁した貨物船「南昌丸」の韓国人乗組員のうち、ただ一人亡くなった李歳元さんの慰霊祭を行っている実行委員会副委員長の上嶋勝己さん（７１）が企画。写真や当時の新聞記事など約６０点が並ぶ。
６３年に漁船「成進号」が赤碕沖で座礁した事故については、上嶋さんが当時の乗組員から提供を受けたモノクロ写真を展示。成進号を地元企業のクレーン船が引航する様子や、船の修理が終わって帰国する乗組員が土産を受け取り、万歳をする姿などが写っている。
李さんの慰霊祭の写真や、１８１９年に赤碕沖に漂着した商船の乗組員を鳥取藩が手厚くもてなしたことを伝える資料も展示している。
上嶋さんは「先人の功績を多くの人に知ってもらい、日韓の民間交流をさらに深めたい」と話している。",2024-11-23 10:08:42,History & Heritage
韓国反日党首　失脚の危機…公選法違反　李在明氏に有罪判決,https://www.yomiuri.co.jp/commentary/20241119-OYT8T50138/,No Date,No Title Content,No Content,2024-11-23 10:08:50,Politics & Governance
韓国反日党首　失脚の危機　公選法違反　李在明氏に有罪判決,https://www.yomiuri.co.jp/shimen/20241119-OYT9T50213/,No Date,No Title Content,No Content,2024-11-23 10:08:57,Politics & Governance
日韓首脳会談の要旨,https://www.yomiuri.co.jp/politics/20241117-OYT1T50122/,No Date,No Title Content,No Content,2024-11-23 10:09:04,Security & Diplomacy
露朝の接近　日韓「懸念」　シャトル外交継続も一致,https://www.yomiuri.co.jp/shimen/20241118-OYT9T50077/,No Date,No Title Content,No Content,2024-11-23 10:09:12,Security & Diplomacy
日韓首脳が会談、北朝鮮とロシアの軍事協力に「深刻な懸念」…シャトル外交は継続へ,https://www.yomiuri.co.jp/politics/20241117-OYT1T50091/,2024/11/17 20:24,日韓首脳が会談、北朝鮮とロシアの軍事協力に「深刻な懸念」…シャトル外交は継続へ,"【リマ＝太田晶久】石破首相は１６日午後（日本時間１７日午前）、訪問先のペルーの首都リマで、韓国の
尹錫悦
大統領と約５０分間会談した。北朝鮮がロシアへの兵士派遣に踏み切るなど、北朝鮮とロシアが軍事協力を進展させていることへの「深刻な懸念」を共有し、米国を含め緊密に連携して対応する方針を確認した。
首相は会談冒頭、「北朝鮮の動きも含め、厳しい安全保障環境を踏まえ、日韓、日米韓の協力を継続的に強化していくことは重要だ」と呼びかけた。尹氏は「北朝鮮の兵士派遣など、情勢が緊迫化している」と応じ、日韓の連携強化の必要性を唱えた。
両首脳の対面での会談は２回目で、１０月１０日にラオスで行って以来。首相は、短期間に再び会談できたことに関し、「これが日韓関係のあるべき姿だ。このような関係を強化していきたい」と強調した。両首脳は、緊密な意思疎通と、首脳が相互に往来する「シャトル外交」の継続を申し合わせた。来年の日韓国交正常化６０周年に向け、関係を未来に向けて更に飛躍させていくことでも一致した。政治・安全保障、経済、文化、社会保障など包括的な分野での連携を促進させる。",2024-11-23 10:09:20,Security & Diplomacy
日米韓連携　先行きに影　トランプ氏復権で　「２国間取引」傾向　バイデン氏の「レガシー」,https://www.yomiuri.co.jp/shimen/20241117-OYT9T50047/,No Date,No Title Content,No Content,2024-11-23 10:09:27,Politics & Governance
バイデン氏の「レガシー」日米韓連携、２国間「ディール」好むトランプ氏登板で不透明に,https://www.yomiuri.co.jp/world/20241116-OYT1T50120/,2024/11/16 19:16,バイデン氏の「レガシー」日米韓連携、２国間「ディール」好むトランプ氏登板で不透明に,"【リマ＝淵上隆悠】米国のバイデン大統領は、インド太平洋地域を不安定化させている中国や北朝鮮に対応するため、日米韓３か国の関係を深めてきた。来年１月に就任予定のトランプ次期大統領は２国間による「ディール（取引）」を好むため、政権交代後も日米韓の枠組みを通じた連携が続くかどうかは不透明だ。
「３か国の協力が、今後何年にもわたってインド太平洋地域の平和と安定の礎になることを信じている」
１５日に開かれた日米韓首脳会談で、バイデン氏は左右に座る石破首相と韓国の
尹錫悦
大統領にこう語った。
２０２１年に発足したバイデン政権は、覇権主義的な動きを強める中国や核ミサイル技術を向上させている北朝鮮を念頭に「格子状」の多国間連携を構築してきた。米英豪による「ＡＵＫＵＳ（オーカス）」を発足させ、日米豪印の「Ｑｕａｄ（クアッド）」を閣僚級から首脳級に格上げした。
日米韓の枠組み強化も「格子」の一つだ。日米韓の連携強化の機運が高まったのは、２２年５月に韓国で尹政権が発足し、日韓関係が正常化に向かったからだ。
バイデン氏は２３年８月、歴代米大統領が重要な外交局面で利用してきたワシントン郊外の大統領山荘キャンプデービッドに岸田首相（当時）と尹氏を招き、「日米韓パートナーシップ（協力関係）の新時代」を宣言した。首脳や外相、防衛相など様々なレベルでの会談の定例化で一致した。
協力関係の「制度化」と言える試みは、いずれかの国で政権が交代して外交方針が変わっても、影響を最小限に抑える狙いがあった。日米韓が１５日の共同声明で発表した「調整事務局」の新設もその一環だ。
米国では、５日の大統領選でトランプ氏の再登板が決まった。国務長官に外交・安全保障に精通するマルコ・ルビオ上院議員が選ばれたことは日韓でも好意的に受け止められている。
ただ、多国間の連携はバイデン氏が築いた「レガシー（政治的遺産）」と言え、トランプ氏が否定したいものでもある。１５日の日米韓首脳会談が自身最後の参加となったバイデン氏は「この協力関係が永遠に続くことを期待する」と語った。",2024-11-23 10:09:35,Politics & Governance
